source_subpath	target_subpath	kind	repo	repo_path	cluster	notes
baoyu-skills/skills/baoyu-xhs-images	content/xhs-images-baoyu	composite	JimLiu/baoyu-skills	/skills/baoyu-xhs-images	card	Xiaohongshu image cards (12 styles x 8 layouts x 3 palettes). Sibling: content/guizang-social-card.
baoyu-skills/skills/baoyu-youtube-transcript	productivity/youtube-transcript	composite	JimLiu/baoyu-skills	/skills/baoyu-youtube-transcript	extract	YouTube transcripts/subtitles/covers; chapters; speaker ID.
dbskill/skills/dbs	business/dbs-router	atomic	dontbesilent2025/dbskill	/skills/dbs	dbs-core	Main router for dontbesilent business toolkit; dispatches to other dbs-* skills.
dbskill/skills/dbs-action	business/action-diagnose	atomic	dontbesilent2025/dbskill	/skills/dbs-action	-	Execution/procrastination diagnosis (Adlerian psychology).
dbskill/skills/dbs-agent-migration	agent-adapters/agent-migration	atomic	dontbesilent2025/dbskill	/skills/dbs-agent-migration	-	Migrate agent workspaces across Claude Code / Codex / Grok.
dbskill/skills/dbs-ai-check	content/ai-check	atomic	dontbesilent2025/dbskill	/skills/dbs-ai-check	humanizer	Detect AI-writing traces in Chinese text. Sibling: content/humanizer-zh (rewrites), content/format-markdown.
dbskill/skills/dbs-benchmark	business/benchmark	atomic	dontbesilent2025/dbskill	/skills/dbs-benchmark	-	Competitor benchmark imitation analysis (five-filter method).
dbskill/skills/dbs-chatroom	methodology/chatroom	atomic	dontbesilent2025/dbskill	/skills/dbs-chatroom	chatroom	Multi-expert directed discussion with host and judge.
dbskill/skills/dbs-chatroom-austrian	methodology/chatroom-austrian	atomic	dontbesilent2025/dbskill	/skills/dbs-chatroom-austrian	chatroom	Austrian-economics chatroom (Hayek/Mises/Claude roles).
dbskill/skills/dbs-content	content/content-strategy	atomic	dontbesilent2025/dbskill	/skills/dbs-content	-	Content creation diagnosis after topic is confirmed.
dbskill/skills/dbs-content-system	content/content-system	composite	dontbesilent2025/dbskill	/skills/dbs-content-system	-	Structured local content engineering system (scaffold + templates + JS tools).
dbskill/skills/dbs-decision	methodology/decision-system	atomic	dontbesilent2025/dbskill	/skills/dbs-decision	-	Personal decision system: 4-layer local Markdown knowledge engineering.
dbskill/skills/dbs-deconstruct	methodology/deconstruct	atomic	dontbesilent2025/dbskill	/skills/dbs-deconstruct	-	Concept deconstruction via Wittgenstein + Austrian-economics methodology.
dbskill/skills/dbs-diagnosis	business/diagnosis	atomic	dontbesilent2025/dbskill	/skills/dbs-diagnosis	-	Business model diagnosis; dissolves flawed questions.
dbskill/skills/dbs-goal	workmode/goal-clarify	atomic	dontbesilent2025/dbskill	/skills/dbs-goal	-	Goal clarification via Wittgenstein-style language auditing.
dbskill/skills/dbs-good-question	methodology/good-question	atomic	dontbesilent2025/dbskill	/skills/dbs-good-question	-	Turn fuzzy questions into criticizable, verifiable problem specs.
dbskill/skills/dbs-hook	content/hook-opener	atomic	dontbesilent2025/dbskill	/skills/dbs-hook	-	Short-video opening optimization; hook formulas + content diagnosis.
dbskill/skills/dbs-learning	methodology/learning-plan	atomic	dontbesilent2025/dbskill	/skills/dbs-learning	-	Adaptive interactive learning sequence.
dbskill/skills/dbs-report	business/state-report	atomic	dontbesilent2025/dbskill	/skills/dbs-report	dbs-state	Merge dbs-save snapshots into a Markdown report. Cluster: business/state-save + state-restore + state-report.
dbskill/skills/dbs-resonate	content/resonate	atomic	dontbesilent2025/dbskill	/skills/dbs-resonate	-	Draft resonance diagnosis (communication psychology).
dbskill/skills/dbs-restore	business/state-restore	atomic	dontbesilent2025/dbskill	/skills/dbs-restore	dbs-state	Restore recent dbskill diagnostic state from local snapshots.
dbskill/skills/dbs-save	business/state-save	atomic	dontbesilent2025/dbskill	/skills/dbs-save	dbs-state	Save current dbskill diagnostic conclusions to structured local Markdown.
dbskill/skills/dbs-slowisfast	workmode/slowisfast	atomic	dontbesilent2025/dbskill	/skills/dbs-slowisfast	-	Slow is fast diagnostic: distinguish compounding friction from harmful shortcuts.
dbskill/skills/dbs-spread	content/spread	atomic	dontbesilent2025/dbskill	/skills/dbs-spread	-	Communication-psychology decoder: why content resonates and what audience wants next.
dbskill/skills/dbs-xhs-title	content/xhs-title	atomic	dontbesilent2025/dbskill	/skills/dbs-xhs-title	-	Xiaohongshu title formulas (75 validated viral patterns).
guizang-ppt-skill	content/guizang-ppt	composite	op7418/guizang-ppt-skill	/	slide	Horizontal swipe web PPT as single HTML file (WebGL bg, chapter covers, big-number data pages). Sibling: content/slide-deck-baoyu.
guizang-social-card-skill	content/guizang-social-card	composite	op7418/guizang-social-card-skill	/	card	Guizang-style social cards + WeChat cover pairs (Swiss/editorial layouts). Sibling: content/xhs-images-baoyu.
khazix-skills/aihot	productivity/news-aihot	atomic	KKKKhazix/khazix-skills	/aihot	-	Chinese AI news brief via aihot.virxact.com public REST API.
khazix-skills/hv-analysis	methodology/hv-analysis	composite	KKKKhazix/khazix-skills	/hv-analysis	-	Horizontal-Vertical analysis research method; outputs PDF.
khazix-skills/khazix-writer	content/khazix-writer	composite	KKKKhazix/khazix-skills	/khazix-writer	-	Personal long-form WeChat writing style (Khazix voice).
khazix-skills/neat-freak	meta/neat-freak	composite	KKKKhazix/khazix-skills	/neat-freak	-	Knowledge Base Neat-Freak: cross-platform agent memory/docs hygiene.
khazix-skills/storage-analyzer	productivity/storage-analyzer	composite	KKKKhazix/khazix-skills	/storage-analyzer	-	Read-only storage analysis (macOS+Windows); interactive HTML report.
notebooklm-skill	productivity/notebooklm	composite	PleasePrompto/notebooklm-skill	/	-	Query Google NotebookLM from agent for citation-backed answers; browser automation.
ponytail/skills/ponytail	workmode/ponytail	atomic	DietrichGebert/ponytail	/skills/ponytail	ponytail	Lazy senior-dev coding mode: force the minimal solution that works (YAGNI -> stdlib -> native -> one line -> minimum). Levels lite/full/ultra. Sibling: workmode/caveman.
ponytail/skills/ponytail-review	workmode/ponytail-review	atomic	DietrichGebert/ponytail	/skills/ponytail-review	ponytail	Code review hunting only over-engineering: one line per finding (delete/stdlib/native/yagni/shrink). Complements correctness-focused review.
ponytail/skills/ponytail-audit	workmode/ponytail-audit	atomic	DietrichGebert/ponytail	/skills/ponytail-audit	ponytail	Whole-repo audit for over-engineering: ranked list of what to delete/simplify/replace with stdlib/native. One-shot report, no fixes.
ponytail/skills/ponytail-debt	workmode/ponytail-debt	atomic	DietrichGebert/ponytail	/skills/ponytail-debt	ponytail	Harvest every ponytail: comment into a debt ledger so deliberate shortcuts get tracked. One-shot report, changes nothing.
ponytail/skills/ponytail-gain	workmode/ponytail-gain	atomic	DietrichGebert/ponytail	/skills/ponytail-gain	ponytail	Display ponytail's measured benchmark scoreboard (less code/cost, more speed). One-shot display, not a persistent mode.
ponytail/skills/ponytail-help	workmode/ponytail-help	atomic	DietrichGebert/ponytail	/skills/ponytail-help	ponytail	Quick-reference card for all ponytail modes/skills/commands. One-shot display.
dbskill/skills/dbs-bridge	agent-adapters/bridge	composite	dontbesilent2025/dbskill	/skills/dbs-bridge	-	Bridge a single skill or skill-set across agents (Agents/Claude Code/Codex/WorkBuddy/Grok/Hermes/Kiro/Qwen Code/Cline): install/sync/list/dedup/unlink.
dbskill/skills/dbs-content-risk-check	content/content-risk-check	atomic	dontbesilent2025/dbskill	/skills/dbs-content-risk-check	-	Content publishing risk check: sentence-by-sentence for titles/body/image text/captions/account bio/video frames; pinpoints positions + minimal fixes.
dbskill/skills/dbs-jtbd	methodology/jtbd	atomic	dontbesilent2025/dbskill	/skills/dbs-jtbd	-	Jobs-to-be-done task clarification: identify the progress/switch forces/observable criteria; optimize product, content, service, decision, AI prompts.
dbskill/skills/dbs-knowledge	methodology/knowledge	atomic	dontbesilent2025/dbskill	/skills/dbs-knowledge	-	Build a local folder into an agent-searchable/maintainable knowledge base with navigation, version judgment, health checks, SOT tiered governance.
dbskill/skills/dbs-script-flow	content/script-flow	atomic	dontbesilent2025/dbskill	/skills/dbs-script-flow	-	Check short-video script flow: paragraph transitions, information density, delivery smoothness; locate where viewers drop off.
dbskill/skills/dbs-skill-cleaner	meta/skill-cleaner	composite	dontbesilent2025/dbskill	/skills/dbs-skill-cleaner	-	Scan local skills for ad/stealth-commercial intent, task hijacking, suspicious external calls, sensitive-data reads; report-only by default.
dbskill/skills/dbs-standard-answer	methodology/standard-answer	composite	dontbesilent2025/dbskill	/skills/dbs-standard-answer	-	Find structurally-similar success/failure/counterexamples from business/management/tech/career/institutional history; distill conditional repeated mechanisms.
dbskill/skills/dbs-update	meta/dbs-update	atomic	dontbesilent2025/dbskill	/skills/dbs-update	-	Update the official dbskill suite while preserving other skills and user archives.
dbskill/skills/dbs-wechat-html	content/wechat-html	composite	dontbesilent2025/dbskill	/skills/dbs-wechat-html	-	Convert Markdown to paste-ready WeChat Official Account HTML with 15 built-in styles.
khazix-skills/leader	workmode/leader	composite	KKKKhazix/khazix-skills	/leader	-	Turn a one-line idea into a runnable agent goal brief (<=4000 chars, verified numbers, whitelist bounds, anti-cheat acceptance, resume); splits execution vs exploration.
quantskills-skills/skill-a-share-pit-fundamental-vintage-builder	quant/data/skill-a-share-pit-fundamental-vintage-builder	composite	quantskills/skill-a-share-pit-fundamental-vintage-builder	/	-	按披露可见时点构建并审计 A 股财务数据，避免使用后续重述信息。
quantskills-skills/skill-backtest	quant/backtest/skill-backtest	composite	quantskills/skill-backtest	/	-	提供横截面多头回测协议，固定 T+1 开盘成交、费用、涨跌停剔除与诊断图表。
quantskills-skills/skill-backtest-overfit	quant/validation/skill-backtest-overfit	composite	quantskills/skill-backtest-overfit	/	-	评估回测过拟合与多重检验风险，计算 DSR、PBO、净化交叉验证和 Harvey-Liu 折减。
quantskills-skills/skill-backtesting-bias-avoidance	quant/validation/skill-backtesting-bias-avoidance	composite	quantskills/skill-backtesting-bias-avoidance	/	-	构建无前视偏差的回测并审计前视、幸存者、过拟合、成本和样本外检验风险。
quantskills-skills/skill-brinson-performance-attribution	quant/backtest/skill-brinson-performance-attribution	composite	quantskills/skill-brinson-performance-attribution	/	-	执行 Brinson-Fachler 或 BHB 归因、HHI 与贡献排序，并支持 Carino 多期链接。
quantskills-skills/skill-build-b10-factor-evaluation	quant/factors/skill-build-b10-factor-evaluation	atomic	quantskills/skill-build-b10-factor-evaluation	/	-	评估因子的 IC、IR、分层回测、单调性、换手率和衰减表现。
quantskills-skills/skill-calendar-anomaly-scanner	quant/validation/skill-calendar-anomaly-scanner	composite	quantskills/skill-calendar-anomaly-scanner	/	-	从带日期收益序列扫描日历异常，结合稳健检验、Bootstrap 和多重检验校正输出结果。
quantskills-skills/skill-capital-flow-crowding-monitor	quant/risk/skill-capital-flow-crowding-monitor	composite	quantskills/skill-capital-flow-crowding-monitor	/	-	聚合融资融券、北向持股和大宗交易，计算资金一致性、背离与拥挤度分位信号。
quantskills-skills/skill-corporate-action-adjustment-auditor	quant/data/skill-corporate-action-adjustment-auditor	composite	quantskills/skill-corporate-action-adjustment-auditor	/	-	在研究或回测前审计原始与复权价格中的拆分和现金分红一致性。
quantskills-skills/skill-factor-alpha191-alpha101	quant/factors/skill-factor-alpha191-alpha101	composite	quantskills/skill-factor-alpha191-alpha101	/	-	从长表OHLCV CSV批量计算Alpha101和Alpha191因子并输出宽表CSV。
quantskills-skills/skill-factor-backtest	quant/backtest/skill-factor-backtest	composite	quantskills/skill-factor-backtest	/	-	对给定因子和行情数据执行long-only横截面因子回测并生成诊断报告。
quantskills-skills/skill-factor-blend	quant/factors/skill-factor-blend	composite	quantskills/skill-factor-blend	/	-	将多个因子信号去冗余、加权并合成为复合信号。
quantskills-skills/skill-factor-debug	quant/validation/skill-factor-debug	composite	quantskills/skill-factor-debug	/	-	提供按症状、病因和验证手段组织的因子失效诊断手册。
quantskills-skills/skill-factor-decay	quant/validation/skill-factor-decay	composite	quantskills/skill-factor-decay	/	-	分析多期限Rank IC、换手和分组收益的衰减，并估计半衰期。
quantskills-skills/skill-factor-evaluate	quant/factors/skill-factor-evaluate	composite	quantskills/skill-factor-evaluate	/	-	对单个截面因子计算IC、夏普、回撤、单调性和换手的综合评分。
quantskills-skills/skill-factor-idea-generation	quant/factors/skill-factor-idea-generation	composite	quantskills/skill-factor-idea-generation	/	-	根据默认数据范围生成包含经济逻辑和风险说明的因子候选想法。
quantskills-skills/skill-factor-mason	quant/factors/skill-factor-mason	composite	quantskills/skill-factor-mason	/	-	检查单因子研究中的时点、IC/IR、成本和中性化质量。
quantskills-skills/skill-factor-mine	quant/factors/skill-factor-mine	composite	quantskills/skill-factor-mine	/	-	提供从假设、实验记录到评分和接受或回滚的因子挖掘SOP。
quantskills-skills/skill-factor-optimize	quant/factors/skill-factor-optimize	composite	quantskills/skill-factor-optimize	/	-	对已有股票或期货因子执行参数扫描、消融和版本增强。
quantskills-skills/skill-factor-orthogonalize	quant/factors/skill-factor-orthogonalize	composite	quantskills/skill-factor-orthogonalize	/	-	对截面因子进行逐日OLS正交化，并输出残差因子和暴露诊断。
quantskills-skills/skill-factor-pool-evolution	quant/factors/skill-factor-pool-evolution	composite	quantskills/skill-factor-pool-evolution	/	-	根据种子因子池的评估生成变异、交叉和推荐。
quantskills-skills/skill-factor-ranking-sage	quant/factors/skill-factor-ranking-sage	composite	quantskills/skill-factor-ranking-sage	/	-	在本地因子和标签数据上运行mRMR或Marginal-SAGE并输出Top-K排名。
quantskills-skills/skill-factor-review	quant/factors/skill-factor-review	composite	quantskills/skill-factor-review	/	-	扫描因子库和实验日志，生成量化盘点、结构分析和研究建议。
quantskills-skills/skill-factormad-debate-factor-mining	quant/factors/skill-factormad-debate-factor-mining	composite	quantskills/skill-factormad-debate-factor-mining	/	-	参考FactorMAD多智能体辩论框架进行可解释的股票Alpha因子挖掘。
quantskills-skills/skill-forecast-calibration-audit	quant/validation/skill-forecast-calibration-audit	composite	quantskills/skill-forecast-calibration-audit	/	-	审计概率预测的校准程度，而非只评估样本排序。
quantskills-skills/skill-fundamental-factor-analysis	quant/factors/skill-fundamental-factor-analysis	composite	quantskills/skill-fundamental-factor-analysis	/	-	从季度财报计算并验证A股估值、质量和成长因子。
quantskills-skills/skill-ic-analysis	quant/factors/skill-ic-analysis	composite	quantskills/skill-ic-analysis	/	-	评估量化因子的IC、分组表现和预测有效性。
quantskills-skills/skill-index-rebalance-event-study	quant/market/skill-index-rebalance-event-study	composite	quantskills/skill-index-rebalance-event-study	/	-	围绕指数纳入、剔除和权重调整公告或生效日运行可复现事件研究。
quantskills-skills/skill-intraday-data-quality-auditor	quant/data/skill-intraday-data-quality-auditor	composite	quantskills/skill-intraday-data-quality-auditor	/	-	审计标准化日内OHLCV数据的时间戳、缺口、价格、成交量和交易日缺陷。
quantskills-skills/skill-market-regime-analysis	quant/risk/skill-market-regime-analysis	composite	quantskills/skill-market-regime-analysis	/	-	结合指数、宏观、期货期限结构和波动率特征划分A股市场状态。
quantskills-skills/skill-ml-factor-ensemble	quant/factors/skill-ml-factor-ensemble	composite	quantskills/skill-ml-factor-ensemble	/	-	用防泄漏滚动验证将机器学习模型集成为因子元信号。
quantskills-skills/skill-model-hpo-evidence-driven	quant/models/skill-model-hpo-evidence-driven	composite	quantskills/skill-model-hpo-evidence-driven	/	-	以固定验证流程和试验级证据优化量化多因子模型超参数。
quantskills-skills/skill-northbound-margin-monitor	quant/risk/skill-northbound-margin-monitor	composite	quantskills/skill-northbound-margin-monitor	/	-	监测北向资金、融资融券和期货全景的多类风险信号。
quantskills-skills/skill-numerical-leak-check	quant/validation/skill-numerical-leak-check	composite	quantskills/skill-numerical-leak-check	/	-	通过数值测试检测量化研究流程中的前视和数据泄漏。
quantskills-skills/skill-overseas-equity-factor-miner	quant/factors/skill-overseas-equity-factor-miner	composite	quantskills/skill-overseas-equity-factor-miner	/	-	发现并以IC、衰减和换手率验证港美股横截面alpha因子。
quantskills-skills/skill-pair-correlation	quant/models/skill-pair-correlation	composite	quantskills/skill-pair-correlation	/	-	计算和解释资产对的相关性、滚动关系及其研究用途。
quantskills-skills/skill-paper-replication	quant/models/skill-paper-replication	composite	quantskills/skill-paper-replication	/	-	支持论文检索、数据提取、实验复现和研究结果报告。
quantskills-skills/skill-portfolio-attribution	quant/backtest/skill-portfolio-attribution	composite	quantskills/skill-portfolio-attribution	/	-	将组合主动收益分解为行业配置、个股选择、交互效应和因子贡献。
quantskills-skills/skill-portfolio-liquidity-stress-test	quant/risk/skill-portfolio-liquidity-stress-test	composite	quantskills/skill-portfolio-liquidity-stress-test	/	-	在成交量压力下估算组合清算天数、期限内变现、赎回缺口和冲击成本。
quantskills-skills/skill-portfolio-optimize	quant/backtest/skill-portfolio-optimize	composite	quantskills/skill-portfolio-optimize	/	-	将alpha信号转为受权重、行业、暴露和换手约束的优化组合权重。
quantskills-skills/skill-quant-factor-directional-alpha	quant/factors/skill-quant-factor-directional-alpha	atomic	quantskills/skill-quant-factor-directional-alpha	/	-	提供用于趋势、突破和反转研究的 OHLCV 方向因子库。
quantskills-skills/skill-quant-factor-risk-pattern-alpha	quant/factors/skill-quant-factor-risk-pattern-alpha	atomic	quantskills/skill-quant-factor-risk-pattern-alpha	/	-	提供用于波动、K 线形态和回撤压力研究的 OHLCV 因子库。
quantskills-skills/skill-quant-factor-skill-factory	quant/infra/skill-quant-factor-skill-factory	composite	quantskills/skill-quant-factor-skill-factory	/	-	批量生成、验证并打包框架中立的 OHLCV 因子技能。
quantskills-skills/skill-quant-factor-volume-stat-alpha	quant/factors/skill-quant-factor-volume-stat-alpha	atomic	quantskills/skill-quant-factor-volume-stat-alpha	/	-	提供用于成交量和量价统计研究的 OHLCV 因子库。
quantskills-skills/skill-quant-portfolio-risk	quant/risk/skill-quant-portfolio-risk	composite	quantskills/skill-quant-portfolio-risk	/	-	分析组合风险暴露、约束和压力情景。
quantskills-skills/skill-quant-research	quant/models/skill-quant-research	composite	quantskills/skill-quant-research	/	-	指导量化研究、回测设计和统计验证工作流。
quantskills-skills/skill-residual-guided-factor-selection	quant/factors/skill-residual-guided-factor-selection	composite	quantskills/skill-residual-guided-factor-selection	/	-	使用残差 IC 和样本外评估筛选因子组合。
quantskills-skills/skill-risk-model	quant/risk/skill-risk-model	composite	quantskills/skill-risk-model	/	-	构建多因子风险模型并进行风险归因。
quantskills-skills/skill-risk-return-metrics	quant/backtest/skill-risk-return-metrics	composite	quantskills/skill-risk-return-metrics	/	-	计算投资组合或策略的风险收益指标。
quantskills-skills/skill-rolling-beta-exposure	quant/risk/skill-rolling-beta-exposure	composite	quantskills/skill-rolling-beta-exposure	/	-	估计资产或组合相对于基准的滚动贝塔暴露。
quantskills-skills/skill-signal-stability-audit	quant/validation/skill-signal-stability-audit	composite	quantskills/skill-signal-stability-audit	/	-	审计量化信号跨期和跨样本的稳定性。
quantskills-skills/skill-statistical-arbitrage-time-series	quant/models/skill-statistical-arbitrage-time-series	composite	quantskills/skill-statistical-arbitrage-time-series	/	-	构建统计套利时间序列研究并生成可追溯报告。
quantskills-skills/skill-survivorship-universe-auditor	quant/validation/skill-survivorship-universe-auditor	composite	quantskills/skill-survivorship-universe-auditor	/	-	审计回测前的点时证券池成员、标识和退市收益数据。
quantskills-skills/skill-template	quant/infra/skill-template	composite	quantskills/skill-template	/	-	提供 QuantSkills 技能项目的模板结构和说明。
quantskills-skills/skill-time-series-analysis	quant/models/skill-time-series-analysis	composite	quantskills/skill-time-series-analysis	/	-	对金融时间序列进行诊断并生成分析报告。
quantskills-skills/skill-transaction-cost-analysis	quant/backtest/skill-transaction-cost-analysis	composite	quantskills/skill-transaction-cost-analysis	/	-	将成交记录相对 VWAP/TWAP 分解为多类交易成本。
quantskills-skills/skill-transaction-cost-calibration	quant/backtest/skill-transaction-cost-calibration	composite	quantskills/skill-transaction-cost-calibration	/	-	从成交和市场数据校准佣金、价差、滑点与冲击成本假设。
quantskills-skills/skill-walk-forward-validator	quant/validation/skill-walk-forward-validator	composite	quantskills/skill-walk-forward-validator	/	-	用净化和隔离的滚动窗口验证截面信号的样本外表现。
